block_id,vol_id,tile_idx,d,h,w,density,target,path
249,31,1,14,14,14,0.639942,GPU,blocks/blk_0000249.npy
250,31,2,14,14,14,0.584548,GPU,blocks/blk_0000250.npy
251,31,3,14,14,14,0.702624,GPU,blocks/blk_0000251.npy
252,31,4,14,14,14,0.614431,GPU,blocks/blk_0000252.npy
253,31,5,14,14,14,0.577259,GPU,blocks/blk_0000253.npy
254,31,6,14,14,14,0.786079,GPU,blocks/blk_0000254.npy
255,31,7,14,14,14,0.701895,GPU,blocks/blk_0000255.npy
256,32,0,14,14,14,0.663994,GPU,blocks/blk_0000256.npy
257,32,1,14,14,14,0.733236,GPU,blocks/blk_0000257.npy
258,32,2,14,14,14,0.674927,GPU,blocks/blk_0000258.npy
259,32,3,14,14,14,0.718659,GPU,blocks/blk_0000259.npy
260,32,4,14,14,14,0.694971,GPU,blocks/blk_0000260.npy
261,32,5,14,14,14,0.699344,GPU,blocks/blk_0000261.npy
262,32,6,14,14,14,0.658528,GPU,blocks/blk_0000262.npy
263,32,7,14,14,14,0.672741,GPU,blocks/blk_0000263.npy
264,33,0,14,14,14,1.000000,GPU,blocks/blk_0000264.npy
265,33,1,14,14,14,1.000000,GPU,blocks/blk_0000265.npy
266,33,2,14,14,14,1.000000,GPU,blocks/blk_0000266.npy
267,33,3,14,14,14,1.000000,GPU,blocks/blk_0000267.npy
268,33,4,14,14,14,1.000000,GPU,blocks/blk_0000268.npy
269,33,5,14,14,14,0.990525,GPU,blocks/blk_0000269.npy
270,33,6,14,14,14,1.000000,GPU,blocks/blk_0000270.npy
271,33,7,14,14,14,0.994534,GPU,blocks/blk_0000271.npy
272,34,0,14,14,14,0.887391,GPU,blocks/blk_0000272.npy
273,34,1,14,14,14,0.831268,GPU,blocks/blk_0000273.npy
274,34,2,14,14,14,0.574708,GPU,blocks/blk_0000274.npy
275,34,3,14,14,14,0.787536,GPU,blocks/blk_0000275.npy
276,34,4,14,14,14,0.295918,CPU,blocks/blk_0000276.npy
277,34,5,14,14,14,0.244169,CPU,blocks/blk_0000277.npy
278,34,6,14,14,14,0.272959,CPU,blocks/blk_0000278.npy
279,34,7,14,14,14,0.462099,GPU,blocks/blk_0000279.npy
280,35,0,14,14,14,0.985058,GPU,blocks/blk_0000280.npy
281,35,1,14,14,14,1.000000,GPU,blocks/blk_0000281.npy
282,35,2,14,14,14,0.965015,GPU,blocks/blk_0000282.npy
283,35,3,14,14,14,1.000000,GPU,blocks/blk_0000283.npy
284,35,4,14,14,14,1.000000,GPU,blocks/blk_0000284.npy
